DiseaseSeverity,AMF,M_aphidis,Site,Population,Treatment
0,TRUE,FALSE,HK,4688,AMF
0,TRUE,FALSE,HK,4688,AMF
0,TRUE,FALSE,HK,4688,AMF
0,TRUE,FALSE,HK,4688,AMF
0,TRUE,FALSE,KP,4688,AMF
0,TRUE,FALSE,KP,4688,AMF
0,TRUE,FALSE,KP,4688,AMF
0,TRUE,TRUE,HK,4688,AMF + M. aphidis
0,TRUE,TRUE,HK,4688,AMF + M. aphidis
0,TRUE,TRUE,HK,4688,AMF + M. aphidis
0,TRUE,TRUE,KP,4688,AMF + M. aphidis
0,TRUE,TRUE,KP,4688,AMF + M. aphidis
0,TRUE,TRUE,KP,4688,AMF + M. aphidis
0,TRUE,TRUE,KP,4688,AMF + M. aphidis
0,FALSE,FALSE,HK,4688,Control
0,FALSE,FALSE,HK,4688,Control
0,FALSE,FALSE,HK,4688,Control
0,FALSE,FALSE,KP,4688,Control
0,FALSE,TRUE,HK,4688,M. aphidis
0,FALSE,TRUE,KP,4688,M. aphidis
0,FALSE,TRUE,KP,4688,M. aphidis
0,FALSE,TRUE,KP,4688,M. aphidis
0,FALSE,TRUE,KP,4688,M. aphidis
0,TRUE,FALSE,HK,4689,AMF
0,TRUE,FALSE,HK,4689,AMF
0,TRUE,FALSE,HK,4689,AMF
0,TRUE,FALSE,HK,4689,AMF
0,TRUE,FALSE,HK,4689,AMF
0,TRUE,FALSE,KP,4689,AMF
0,TRUE,FALSE,KP,4689,AMF
0,TRUE,TRUE,HK,4689,AMF + M. aphidis
0,TRUE,TRUE,HK,4689,AMF + M. aphidis
0,TRUE,TRUE,HK,4689,AMF + M. aphidis
0,TRUE,TRUE,HK,4689,AMF + M. aphidis
0,TRUE,TRUE,HK,4689,AMF + M. aphidis
0,TRUE,TRUE,KP,4689,AMF + M. aphidis
0,TRUE,TRUE,KP,4689,AMF + M. aphidis
0,TRUE,TRUE,KP,4689,AMF + M. aphidis
0,TRUE,TRUE,KP,4689,AMF + M. aphidis
0,TRUE,TRUE,KP,4689,AMF + M. aphidis
0,FALSE,FALSE,HK,4689,Control
0,FALSE,FALSE,HK,4689,Control
0,FALSE,FALSE,HK,4689,Control
0,FALSE,FALSE,KP,4689,Control
0,FALSE,FALSE,KP,4689,Control
0,FALSE,FALSE,KP,4689,Control
0,FALSE,FALSE,KP,4689,Control
0,FALSE,TRUE,HK,4689,M. aphidis
0,FALSE,TRUE,HK,4689,M. aphidis
0,FALSE,TRUE,HK,4689,M. aphidis
0,FALSE,TRUE,KP,4689,M. aphidis
0,FALSE,TRUE,KP,4689,M. aphidis
0,FALSE,TRUE,KP,4689,M. aphidis
0,FALSE,TRUE,KP,4689,M. aphidis
0,TRUE,FALSE,HK,5075,AMF
0,TRUE,FALSE,HK,5075,AMF
0,TRUE,FALSE,HK,5075,AMF
0,TRUE,FALSE,KP,5075,AMF
0,TRUE,FALSE,KP,5075,AMF
0,TRUE,TRUE,HK,5075,AMF + M. aphidis
0,TRUE,TRUE,HK,5075,AMF + M. aphidis
0,TRUE,TRUE,HK,5075,AMF + M. aphidis
0,TRUE,TRUE,HK,5075,AMF + M. aphidis
0,TRUE,TRUE,KP,5075,AMF + M. aphidis
0,TRUE,TRUE,KP,5075,AMF + M. aphidis
0,TRUE,TRUE,KP,5075,AMF + M. aphidis
0,FALSE,FALSE,HK,5075,Control
0,FALSE,FALSE,HK,5075,Control
0,FALSE,TRUE,HK,5075,M. aphidis
0,FALSE,TRUE,HK,5075,M. aphidis
0,FALSE,TRUE,HK,5075,M. aphidis
0,FALSE,TRUE,KP,5075,M. aphidis
0,TRUE,FALSE,HK,5245,AMF
0,TRUE,FALSE,HK,5245,AMF
0,TRUE,FALSE,KP,5245,AMF
0,TRUE,FALSE,KP,5245,AMF
0,TRUE,FALSE,KP,5245,AMF
0,TRUE,FALSE,KP,5245,AMF
0,TRUE,TRUE,HK,5245,AMF + M. aphidis
0,TRUE,TRUE,HK,5245,AMF + M. aphidis
0,TRUE,TRUE,KP,5245,AMF + M. aphidis
0,TRUE,TRUE,KP,5245,AMF + M. aphidis
0,TRUE,TRUE,KP,5245,AMF + M. aphidis
0,TRUE,TRUE,KP,5245,AMF + M. aphidis
0,FALSE,FALSE,HK,5245,Control
0,FALSE,FALSE,HK,5245,Control
0,FALSE,FALSE,HK,5245,Control
0,FALSE,TRUE,HK,5245,M. aphidis
0,FALSE,TRUE,HK,5245,M. aphidis
0,FALSE,TRUE,HK,5245,M. aphidis
0,FALSE,TRUE,KP,5245,M. aphidis
0,FALSE,TRUE,KP,5245,M. aphidis
0,FALSE,TRUE,KP,5245,M. aphidis
0,FALSE,TRUE,KP,5245,M. aphidis
0,FALSE,TRUE,KP,5245,M. aphidis
0.083523774,TRUE,FALSE,KP,4688,AMF
0.071398863,FALSE,FALSE,HK,4688,Control
0.065275941,TRUE,FALSE,HK,4688,AMF
0.052980446,FALSE,TRUE,HK,4688,M. aphidis
0.049191539,FALSE,TRUE,KP,4688,M. aphidis
0.041255332,TRUE,TRUE,HK,4688,AMF + M. aphidis
0.031232784,FALSE,FALSE,KP,4688,Control
0.160823036,TRUE,FALSE,KP,4689,AMF
0.097939762,FALSE,FALSE,HK,4689,Control
0.096215439,TRUE,FALSE,KP,4689,AMF
0.062110674,FALSE,FALSE,KP,4689,Control
0.06018004,TRUE,FALSE,KP,4689,AMF
0.111738221,TRUE,FALSE,KP,5075,AMF
0.10254329,TRUE,FALSE,HK,5075,AMF
0.077731742,FALSE,FALSE,HK,5075,Control
0.072841423,TRUE,FALSE,KP,5075,AMF
0.063968528,FALSE,FALSE,KP,5075,Control
0.062418595,FALSE,TRUE,KP,5075,M. aphidis
0.057112152,TRUE,FALSE,HK,5075,AMF
0.056775885,FALSE,FALSE,HK,5075,Control
0.051587009,TRUE,FALSE,KP,5075,AMF
0.049879704,FALSE,TRUE,HK,5075,M. aphidis
0.036850327,TRUE,TRUE,HK,5075,AMF + M. aphidis
0.122028043,FALSE,FALSE,KP,5245,Control
0.107920792,FALSE,FALSE,KP,5245,Control
0.08565423,TRUE,FALSE,KP,5245,AMF
0.082297321,FALSE,FALSE,KP,5245,Control
0.072867432,TRUE,FALSE,HK,5245,AMF
0.055874982,FALSE,FALSE,KP,5245,Control
0.053242484,TRUE,TRUE,HK,5245,AMF + M. aphidis
0.03307393,TRUE,FALSE,HK,5245,AMF
0.097973289,FALSE,FALSE,KP,4688,Control
0.072942355,FALSE,FALSE,HK,4688,Control
0.078938529,FALSE,TRUE,KP,5075,M. aphidis
0.061655657,FALSE,FALSE,HK,5075,Control
0.057964469,FALSE,TRUE,KP,5075,M. aphidis
0.052016599,FALSE,TRUE,KP,5075,M. aphidis
0.114099911,FALSE,FALSE,KP,5245,Control
0.047543641,TRUE,TRUE,HK,5245,AMF + M. aphidis
0.059173372,TRUE,FALSE,KP,4688,AMF
0.115478172,TRUE,TRUE,KP,5075,AMF + M. aphidis
0.052913765,TRUE,TRUE,KP,5075,AMF + M. aphidis
0.117202917,TRUE,TRUE,HK,5245,AMF + M. aphidis
0.092835266,FALSE,FALSE,HK,5245,Control
0.082161854,FALSE,FALSE,KP,4688,Control
0.076783379,TRUE,TRUE,KP,4688,AMF + M. aphidis
0.19752443,TRUE,FALSE,HK,5245,AMF
0.123039216,FALSE,FALSE,KP,5075,Control
0.152304609,FALSE,FALSE,KP,4688,Control
0.057467835,FALSE,FALSE,KP,5075,Control
0.064680734,TRUE,TRUE,KP,5245,AMF + M. aphidis
0.052375979,TRUE,TRUE,HK,4688,AMF + M. aphidis
0.13219399,FALSE,FALSE,HK,4689,Control
0.185873909,FALSE,FALSE,KP,5075,Control
0.09881253,FALSE,FALSE,KP,5075,Control
0.329340946,FALSE,FALSE,HK,5245,Control
